# semiconductor: Si
# Eg_eV: 1.12
E_eV,Dit_cm^-2eV^-1
-0.7,60000000000.00002
-0.699,59857244897.959206
-0.698,59714693877.55104
-0.697,59572346938.775536
-0.696,59430204081.63268
-0.695,59288265306.12249
-0.694,59146530612.244934
-0.693,59005000000.000046
-0.692,58863673469.38781
-0.691,58722551020.40822
-0.69,58581632653.06128
-0.689,58440918367.34701
-0.688,58300408163.26538
-0.6869999999999999,58160102040.816414
-0.6859999999999999,58020000000.00009
-0.6849999999999999,57880102040.81643
-0.6839999999999999,57740408163.26543
-0.6829999999999999,57600918367.34707
-0.6819999999999999,57461632653.06138
-0.6809999999999999,57322551020.40833
-0.6799999999999999,57183673469.38794
-0.6789999999999999,57045000000.000206
-0.6779999999999999,56906530612.245125
-0.6769999999999999,56768265306.122696
-0.6759999999999999,56630204081.63293
-0.6749999999999999,56492346938.775826
-0.6739999999999999,56354693877.55137
-0.6729999999999999,56217244897.95957
-0.6719999999999999,56080000000.00043
-0.6709999999999999,55942959183.673935
-0.6699999999999999,55806122448.98011
-0.6689999999999999,55669489795.918945
-0.6679999999999999,55533061224.49045
-0.6669999999999999,55396836734.694595
-0.6659999999999999,55260816326.53141
-0.6649999999999999,55125000000.00089
-0.6639999999999999,54989387755.10303
-0.6629999999999999,54853979591.83783
-0.6619999999999999,54718775510.205284
-0.6609999999999999,54583775510.20543
-0.6599999999999999,54448979591.83823
-0.6589999999999999,54314387755.10369
-0.6579999999999999,54180000000.00184
-0.6569999999999999,54045816326.532646
-0.6559999999999999,53911836734.69613
-0.6549999999999999,53778061224.49229
-0.6539999999999999,53644489795.921135
-0.6529999999999999,53511122448.98266
-0.6519999999999999,53377959183.67686
-0.6509999999999999,53245000000.00375
-0.6499999999999999,53112244897.96333
-0.6489999999999999,52979693877.55562
-0.6479999999999999,52847346938.780594
-0.6469999999999999,52715204081.63829
-0.6459999999999999,52583265306.128685
-0.6449999999999999,52451530612.251785
-0.6439999999999999,52320000000.00762
-0.6429999999999999,52188673469.39619
-0.6419999999999999,52057551020.41748
-0.6409999999999999,51926632653.071526
-0.6399999999999999,51795918367.35833
-0.639,51665408163.27791
-0.6379999999999999,51535102040.83024
-0.637,51405000000.01537
-0.6359999999999999,51275102040.833305
-0.635,51145408163.28407
-0.6339999999999999,51015918367.36763
