# Ef_eV: 0.0
# A_cell_A2: 100.0
E_eV,T_total
-0.5,1.404042856131518e-09
-0.49875,1.4470003546761597e-09
-0.4975,1.4912790168426258e-09
-0.49625,1.5369197028879682e-09
-0.495,1.5839645444007236e-09
-0.49375,1.6324569841150097e-09
-0.4925,1.6824418169802894e-09
-0.49125,1.7339652325266337e-09
-0.49,1.7870748585667684e-09
-0.48875,1.8418198062773135e-09
-0.4875,1.8982507167031183e-09
-0.48625,1.9564198087299824e-09
-0.485,2.016380928572421e-09
-0.48375,2.0781896008247852e-09
-0.4825,2.1419030811254436e-09
-0.48125,2.207580410485359e-09
-0.48,2.275282471334257e-09
-0.47875,2.3450720453388123e-09
-0.4775,2.4170138730496563e-09
-0.47625,2.491174715435226e-09
-0.475,2.5676234173628136e-09
-0.47375,2.6464309730888056e-09
-0.4725,2.7276705938222973e-09
-0.47125,2.8114177774281435e-09
-0.47,2.8977503803378903e-09
-0.46875,2.9867486917389165e-09
-0.4675,3.0784955101146693e-09
-0.46625,3.173076222211086e-09
-0.46499999999999997,3.2705788845066186e-09
-0.46375,3.3710943072661215e-09
-0.4625,3.474716141260916e-09
-0.46125,3.5815409672406127e-09
-0.46,3.6916683882444378e-09
-0.45875,3.805201124843177e-09
-0.4575,3.922245113405339e-09
-0.45625,4.042909607484522e-09
-0.455,4.167307282427843e-09
-0.45375,4.2955543433086526e-09
-0.4525,4.4277706362901056e-09
-0.45125,4.564079763529493e-09
-0.45,4.704609201736848e-09
-0.44875,4.849490424505244e-09
-0.4475,4.998859028533333e-09
-0.44625,5.152854863865624e-09
-0.445,5.311622168278894e-09
-0.44375,5.475309705948321e-09
-0.4425,5.6440709105304544e-09
-0.44125,5.818064032805242e-09
-0.44,5.9974522930232445e-09
-0.43875,6.182404038109756e-09
-0.4375,6.373092903881665e-09
-0.43625,6.569697982438305e-09
-0.435,6.772403994893125e-09
-0.43374999999999997,6.981401469617518e-09
-0.4325,7.196886926174858e-09
-0.43125,7.4190630651274745e-09
-0.43,7.648138963906219e-09
-0.42874999999999996,7.884330278937522e-09
-0.4275,8.127859454230077e-09
-0.42625,8.37895593662922e-09
-0.425,8.637856397953893e-09
-0.42375,8.904804964238764e-09
-0.4225,9.18005345231006e-09
-0.42125,9.463861613932704e-09
-0.42,9.756497387772571e-09
-0.41875,1.0058237159426673e-08
-0.4175,1.0369366029781997e-08
-0.41625,1.06901780919718e-08
-0.415,1.1020976717208145e-08
-0.41375,1.1362074849776775e-08
-0.4125,1.1713795311491627e-08
-0.41125,1.207647111591454e-08
-0.41000000000000003,1.2450445792656812e-08
-0.40875,1.2836073722088614e-08
-0.4075,1.3233720480793733e-08
-0.40625,1.3643763198117901e-08
-0.405,1.406659092417006e-08
-0.40375,1.4502605009648346e-08
-0.40249999999999997,1.4952219497873692e-08
-0.40125,1.541586152942808e-08
-0.4,1.5893971759805783e-08
-0.39875,1.638700479050062e-08
-0.39749999999999996,1.6895429613965222e-08
-0.39625,1.741973007289343e-08
-0.395,1.7960405334291373e-08
-0.39375,1.8517970378817358e-08
-0.3925,1.9092956505888264e-08
-0.39125,1.968591185506417e-08
-0.39,2.0297401944242503e-08
-0.38875,2.0928010225207258e-08
-0.3875,2.1578338657099872e-08
-0.38625,2.224900829839547e-08
-0.385,2.2940659917986115e-08
-0.38375,2.365395462599673e-08
-0.3825,2.438957452497405e-08
-0.38125,2.514822338211619e-08
-0.38,2.593062732322704e-08
-0.37875000000000003,2.6737535549106947e-08
-0.3775,2.7569721075110298e-08
-0.37625,2.8427981494628726e-08
-0.375,2.9313139767280815e-08
-0.37375,3.022604503261612e-08
-0.3725,3.116757345016869e-08
-0.37124999999999997,3.213862906672057e-08
-0.37,3.314014471166837e-08
-0.36875,3.4173082921409895e-08
-0.3675,3.5238436893704735e-08
-0.36624999999999996,3.633723147298698e-08
-0.365,3.7470524167648486e-08
-0.36375,3.863940620033873e-08
-0.3625,3.984500359236363e-08
-0.36124999999999996,4.1088478283304606e-08
-0.36,4.2371029287011134e-08
-0.35875,4.369389388516442e-08
-0.3575,4.505834885964251e-08
-0.35624999999999996,4.646571176496524e-08
-0.355,4.791734224213567e-08
-0.35375,4.941464337523775e-08
-0.35250000000000004,5.0959063092199493e-08
-0.35125,5.2552095611172706e-08
-0.35,5.4195282934033356e-08
-0.34875,5.589021638855239e-08
-0.34750000000000003,5.763853822084354e-08
-0.34625,5.944194323974126e-08
-0.345,6.130218051482531e-08
-0.34375,6.322105512985982e-08
-0.3425,6.520042999347452e-08
-0.34125,6.724222770898033e-08
-0.33999999999999997,6.934843250526962e-08
