E_eV,Dit_cm2eV
-1.2,0.13911139093266456
-1.199,0.15118443133800685
-1.198,0.16428260255314941
-1.197,0.1784909457733691
-1.196,0.1939013833523673
-1.195,0.21061326088046897
-1.194,0.22873393074638396
-1.193,0.24837938025830217
-1.192,0.26967490762047247
-1.191,0.29275584929672815
-1.19,0.3177683625441461
-1.189,0.3448702671687476
-1.188,0.37423195084246874
-1.187,0.4060373426272574
-1.186,0.44048495967998785
-1.185,0.4777890324612945
-1.184,0.5181807141454144
-1.183,0.5619093803260162
-1.182,0.6092440255390728
-1.181,0.6604747635768996
-1.18,0.7159144390524158
-1.179,0.7759003581881774
-1.178,0.840796147356323
-1.177,0.9109937484815974
-1.176,0.9869155610466722
-1.175,1.0690167411046658
-1.174,1.15778766841587
-1.173,1.2537565935818313
-1.172,1.3574924778574455
-1.171,1.4696080391802262
-1.17,1.5907630188712818
-1.169,1.72166768443583
-1.168,1.8630865849285363
-1.167,2.0158425764513646
-1.166,2.180821136526636
-1.165,2.358974987335636
-1.164,2.5513290491429097
-1.163,2.7589857466375003
-1.162,2.9831306924263328
-1.161,3.225038773509093
-1.16,3.4860806682644503
-1.159,3.767729823276817
-1.158,4.071569921253616
-1.157,4.399302873313084
-1.156,4.752757371090149
-1.155,5.1338980363971345
-1.154,5.544835208619382
-1.153,5.98783541260583
-1.152,6.465332552566936
-1.151,6.979939880397236
-1.15,7.534462789938043
-1.149,8.131912491965405
-1.148,8.775520628170112
-1.147,9.468754886076953
-1.146,10.215335680760328
-1.145,11.019253973348786
-1.144,11.884790300703314
-1.143,12.816535095294824
-1.142,13.819410379236741
-1.141,14.89869292163315
-1.14,16.060038953931926
-1.139,17.309510543805487
-1.138,18.653603734278615
-1.137,20.09927856135047
-1.136,21.653991070304173
-1.135,23.325727458193892
-1.134,25.12304047777606
-1.133,27.055088246307296
-1.132,29.131675611325775
-1.131,31.363298234646116
-1.13,33.7611895655062
-1.129,36.33737088398271
-1.128,39.10470460662382
-1.127,42.07695105760186
-1.126,45.26882892077043
-1.125,48.696079600668305
-1.1239999999999999,52.375535733961755
-1.123,56.325194106934916
-1.1219999999999999,60.56429324959476
-1.121,65.1133959926753
-1.1199999999999999,69.99447729046712
-1.119,75.23101762986802
-1.1179999999999999,80.84810236455552
-1.117,86.87252733259042
-1.1159999999999999,93.33291113630744
-1.115,100.2598144848978
-1.1139999999999999,107.68586702290055
-1.113,115.6459020916927
-1.1119999999999999,124.17709989639843
-1.111,133.31913957706576
-1.1099999999999999,143.11436071103984
-1.109,153.60793480271465
-1.1079999999999999,164.84804734794443
-1.107,176.88609109273597
